Site,Local,Arturia alcatraziensis,Clathrina aurea ,Clathrina conifera ,Clathrina primordialis ,Clathrina sp. ,Clathrina tetractina ,Clathrina blanca,Leucascus roseus ,Paraleucilla magna ,Grantia sp.,Leucosolenia sp.,Sycon pentactinale,Sycon sp. ,Keratosa sp. (subclasse),Tetractinellida sp.,Asteropus brasiliensis ,Stelletta beae ,Stelletta sp. ,Erylus soesti ,Geodia corticostylifera ,Geodia gibberosa ,Geodia glariosa ,Geodia papyracea,Geodia sp. ,Characella pachastrelloides ,Pachastrella monilifera ,Vulcanella sp. ,Gastrophanella sp. ,Cinachyra sp. ,Cinachyrella alloclada ,Tetilla radiata ,Tetilla sp. ,Craniella sp. ,Thrombus sp. ,Chondrilla nucula ,Chondrosia reniformis ,Aplysilla rosea ,Aplysilla sp.,Chelonaplysilla erecta ,Darwinella rosacea ,Dysidea etheria ,Dysidea janiae ,Dysidea sp.,Euryspongia rosea ,Spongia catarinensis ,Hadromerida sp. (ordem),Cliona celata ,Cliona dioryssa ,Cliona sp.,Polymastia janeirensis ,Polymastia sp.,Radiella sp. ,Aaptos sp.,Suberites aurantiacus ,Suberites caminatus ,Terpios fugax,Terpios sp.,Amorphinopsis atlantica ,Ciocalypta alba ,Halichondria (Halichondria) cebimarensis ,Halichondria (Halichondria) migottea ,Halichondria (Halichondria) sulfurea ,Halichondria (Halichondria) tenebrica ,Halichondria sp. ,Hymeniacidon heliophila ,Topsentia sp. ,Halicometes minuta ,Tethya diploderma ,Tethya maza ,Timea authia ,"Timea n.sp. 1 (""Timea brasiliensis"")","Timea n.sp. 2 (""Timea garoupai"")","Timea n.sp. 3 (""Timea magnisphaera"")","Timea n.sp. 4 (""Timea quadriradiata"")","Timea n.sp. 5 (""Timea sulcata"")","Timea n.sp. 6 (""Timea verrucosa"")",Timea sp. ,Timea stellata ,Trachycladus sp. ,Axinellidae sp. (família),Axinella corrugata ,Dragmacidon reticulatum ,Dragmaxia anomala ,Ptilocaulis marquezi ,Higginsia strigilata ,Aulospongus sp. ,Raspaciona sp. ,Raspailia (Raspaxilla) bouryesbautae ,Raspailia (Raspaxilla) phakellina ,Raspailia (Parasyringella) sp.,Bubaris sp. ,Scopalina ruetzleri ,Scopalina hispida ,Desmanthus meandroides ,Petromica (Chaladesma) citrina ,Haplosclerida sp. (ordem),Callyspongia (Callyspongia) pallida ,Callyspongia sp. ,Haliclona (Halichoclona) sp. ,Haliclona (Reniera) sp. ,Haliclona (Reniera) tubifera ,Haliclona (Soestella) melana ,Haliclona sp. ,Amphimedon erina ,Amphimedon viridis ,Pachychalina alcaloidifera ,Neopetrosia carbonaria ,Oceanapia nodosa ,Pachypellina sp. ,Forcepia sp. ,Lissodendoryx (Lissodendoryx) isodictyalis ,Lissodendoryx sp. ,Monanchora arbuscula ,Crella (Yvesia) sp. ,Esperiopsis bathyalis ,Guitarra sepia ,Sceptrella sp. ,Artemisina aff. melana ,Clathria (Microciona) campecheae ,Clathria sp.,Mycale (Aegogropila) americana,Mycale (Aegogropila) escarlatei ,Mycale (Aegogropila) lilianae ,Mycale (Arenochalina) laxissima ,Mycale (Carmia) magnirhaphidifera ,Mycale (Carmia) microsigmatosa ,Mycale (Mycale) beatrizae,Mycale (Naviculina) arcuiris,Mycale (Naviculina) purpurata,Mycale (Zygomycale) angulosa ,Mycale sp.,Myxilla (Ectyomyxilla) chilensis,Myxilla (Myxilla) mucronata ,Hymenancora tenuissima ,Myxilla sp. ,Tedania (Tedania) brasiliensis ,Tedania (Tedania) ignis ,Trachytedania biraphidora,Tedania sp. ,Desmacella aff. pumilio,Desmacella annexa ,Desmacella sp. ,Hamacantha (Hamacantha) microxifera ,Hamacantha sp. 2 ,Hamacantha sp. 3,Rhabderemia besnardi ,Rhabderemia uruguaiensis ,Aplysina caissara ,Aplysina fulva ,Aplysina sp. ,Hyalonema sp. 
0-20,Plataform,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0
20-40,Plataform,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0
40-60,Plataform,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0
60-80,Plataform,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0
80-100,Plataform,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
100-120,Plataform,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
120-140,Plataform,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
140-160,Plataform,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0
160-180,Plataform,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0
180-200,Plataform,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
