Ordem,Família ,Gênero ,Espécie ,COI NCBI,BOLD (COI),SILVA (18S),18s NCBI ,28s NCBI,Localização ,Referência ,,,,,
-,-,-,Calcarea sp.  (classe),0,0,0,0,0,Canal de São Sebastião ,Custódio et al. 2011,,,COI,18s,28s
Clathrinida ,Clathrinidae ,Arturia,Arturia alcatraziensis,0,0,0,0,0,Alcatrazes,Custódio et al. 2011; Lanna et al. 2007,,Clathrinidae ,0,8,6
Clathrinida ,Clathrinidae ,Clathrina,Clathrina aurea ,0,0,0,1,1,"Canal de São Sebastião, Ilhabela, Alcatrazes ",Custódio et al. 2011; Lanna et al. 2007,,Leucascidae ,0,0,0
Clathrinida ,Clathrinidae ,Clathrina,Clathrina conifera ,0,0,0,1,1,Alcatrazes,Custódio et al. 2011; Lanna et al. 2007,,Amphoriscidae ,0,2,1
Clathrinida ,Clathrinidae ,Clathrina,Clathrina primordialis ,0,0,0,1,1,Ubatuba,Custódio et al. 2011; Lanna et al. 2007,,Grantiidae ,0,1,1
Clathrinida ,Clathrinidae ,Clathrina,Clathrina sp. ,0,0,1,1,1,Canal de São Sebastião ,Custódio et al. 2011,,Leucosoleniidae ,0,2,1
Clathrinida ,Clathrinidae ,Clathrina,Clathrina tetractina ,0,0,0,1,1,Canal de São Sebastião ,Custódio et al. 2011; Lanna et al. 2007,,Sycettidae ,0,1,1
Clathrinida ,Clathrinidae ,Clathrina,Clathrina blanca,0,0,1,1,1,Ubatuba,Custódio et al. 2011,,Ancorinidae ,2,2,0
Clathrinida ,Leucascidae ,Leucascus,Leucascus roseus ,0,0,0,0,0,Alcatrazes,Custódio et al. 2011; Lanna et al. 2007,,Geodiidae  ,8,4,4
Leucosolenida ,Amphoriscidae ,Paraleucilla,Paraleucilla magna ,0,0,1,1,1,"Canal de São Sebastião, Ilhabela",Custódio et al. 2011,,Pachastrellidae ,3,0,1
Leucosolenida ,Grantiidae ,Grantia ,Grantia sp.,0,0,0,1,1,Plataforma ,Custódio et al. 2011; Hajdu et al. 2007,,Siphonidiidae ,0,0,1
Leucosolenida ,Leucosoleniidae ,Leucosolenia,Leucosolenia sp.,0,0,1,1,1,Plataforma ,Custódio et al. 2011; Hajdu et al. 2007,,Tetillidae ,3,6,3
Leucosolenida ,Sycettidae ,Sycon,Sycon pentactinale,0,0,0,0,0,Canal de São Sebastião ,Custódio et al. 2011,,Thrombidae ,0,0,0
Leucosolenida ,Sycettidae ,Sycon,Sycon sp. ,0,0,0,1,1,Canal de São Sebastião ,Custódio et al. 2011,,Chondrillidae,4,4,2
-,-,-,Keratosa sp. (subclasse),0,0,0,0,0,Canal de São Sebastião ,Custódio et al. 2011,,Darwinellidae,3,2,1
Tetractinellida,Ancorinidae ,-,Tetractinellida sp.,0,0,0,0,0,Canal de São Sebastião ,Custódio et al. 2011,,Dysideidae,2,6,2
Tetractinellida,Ancorinidae ,Asteropus ,Asteropus brasiliensis ,0,0,0,0,0,"Canal de São Sebastião, Ilhabela, Alcatrazes ",Custódio et al. 2011,,Spongiidae ,0,0,0
Tetractinellida,Ancorinidae ,Stelletta ,Stelletta beae ,0,0,0,0,0,Canal de São Sebastião,Custódio et al. 2011,,Clionaidae ,3,4,2
Tetractinellida,Ancorinidae ,Stelletta ,Stelletta sp. ,1,1,1,1,0,"Canal de São Sebastião, Plataforma ",Custódio et al. 2011; Hajdu et al. 2007,,Polymastiidae,6,1,2
Tetractinellida,Geodiidae  ,Erylus,Erylus soesti ,0,0,0,0,0,Plataforma ,Custódio et al. 2011,,Suberitidae ,3,3,2
Tetractinellida,Geodiidae  ,Geodia ,Geodia corticostylifera ,1,1,0,0,1,"Canal de São Sebastião, Ilhabela",Custódio et al. 2011,,Halichondriidae ,5,5,3
Tetractinellida,Geodiidae  ,Geodia ,Geodia gibberosa ,1,1,1,1,1,Canal de São Sebastião ,Custódio et al. 2011,,Tethyidae ,0,0,0
Tetractinellida,Geodiidae  ,Geodia ,Geodia glariosa ,0,0,0,0,0,Canal de São Sebastião,Custódio et al. 2011,,Timeidae ,2,2,1
Tetractinellida,Geodiidae  ,Geodia ,Geodia papyracea,1,1,0,0,1,Canal de São Sebastião,Custódio et al. 2011,,Trachycladidae ,0,2,1
Tetractinellida,Geodiidae  ,Geodia ,Geodia sp. ,1,1,1,1,1,"Canal de São Sebastião, Plataforma ",Custódio et al. 2011; Hajdu et al. 2007,,Axinellidae ,3,5,2
Tetractinellida,Pachastrellidae ,Characella ,Characella pachastrelloides ,1,1,0,0,1,Plataforma ,Custódio et al. 2011; Hajdu et al. 2007,,Heteroxyidae ,0,0,0
Tetractinellida,Pachastrellidae ,Pachastrella ,Pachastrella monilifera ,0,1,0,0,0,Plataforma ,Custódio et al. 2011; Hajdu et al. 2007,,Raspailiidae ,0,2,1
Tetractinellida,Pachastrellidae ,Vulcanella,Vulcanella sp. ,0,0,0,0,0,Plataforma ,Custódio et al. 2011; Hajdu et al. 2007,,Bubaridae ,1,0,1
Tetractinellida,Siphonidiidae ,Gastrophanella ,Gastrophanella sp. ,0,0,0,0,1,Plataforma ,Custódio et al. 2011; Hajdu et al. 2007,,Dictyonellidae ,2,3,2
