Order ,number of families ,number of genus,number of spp.,rep. COI NCBI,rep. COI BOLD,rep. 18s silva,rep. 18s NCBI,rep. 28s NCBI,% COI NCBI,% COI BOLD,% 18s silva,% 18s NCBI,% 28s NCBI
Clathrinida ,2,3,8,0,0,2,6,6,"0,00","0,00","0,25","0,75","0,75"
Leucosolenida ,4,4,5,0,0,2,4,4,"0,00","0,00","0,40","0,80","0,80"
Tetractinellida,5,12,19,7,9,6,6,9,"0,37","0,47","0,32","0,32","0,47"
Chondrillida,2,2,3,2,2,2,2,2,"0,67","0,67","0,67","0,67","0,67"
Dendroceratida ,1,3,4,1,2,1,1,1,"0,25","0,50","0,25","0,25","0,25"
Dictyoceratida ,2,3,5,1,1,3,3,2,"0,20","0,20","0,60","0,60","0,40"
Hadromerida,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
Clionaida,1,1,3,1,2,2,2,2,"0,33","0,67","0,67","0,67","0,67"
Polymastiida,1,2,3,3,3,0,1,2,"1,00","1,00","0,00","0,33","0,67"
Suberitida,2,8,14,3,5,3,5,5,"0,21","0,36","0,21","0,36","0,36"
Tethyida,2,3,12,1,1,1,1,1,"0,08","0,08","0,08","0,08","0,08"
Trachycladida,1,1,1,0,0,1,1,1,"0,00","0,00","1,00","1,00","1,00"
Axinellida,3,8,11,1,2,3,4,3,"0,09","0,18","0,27","0,36","0,27"
Bubarida,3,4,5,1,2,1,2,3,"0,20","0,40","0,20","0,40","0,60"
Haplosclerida ,5,7,13,5,6,3,5,5,"0,38","0,46","0,23","0,38","0,38"
Poecilosclerida ,10,13,29,6,8,12,12,7,"0,21","0,28","0,41","0,41","0,24"
Desmacellida,1,1,3,0,0,1,2,1,"0,00","0,00","0,33","0,67","0,33"
Merliida,1,1,3,0,0,0,0,0,"0,00","0,00","0,00","0,00","0,00"
Biemnida,1,1,2,0,0,0,0,0,"0,00","0,00","0,00","0,00","0,00"
Verongiida ,1,1,3,2,2,2,3,2,"0,67","0,67","0,67","1,00","0,67"
Amphidiscosida ,1,1,1,1,1,1,1,1,"1,00","1,00","1,00","1,00","1,00"
